
Loaded txt
1944360
  0%|          | 0/10000 [00:00<?, ?it/s]
/home/sujaynair/RaCA-SOC-a-spectrum-analysis/RaCA-SOC-a/Step9/models.py:56: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  ms = self.smax(y_mlp);
Validation Loss: 1.5024731510493439e-05
Validation Loss: 1.205417538585607e-05
Validation Loss: 9.203668014379218e-06
Validation Loss: 1.147365037468262e-05
Validation Loss: 7.523975909862202e-06
Validation Loss: 1.1529660696396604e-05
Validation Loss: 1.1495986655063462e-05
Validation Loss: 1.2607031749212183e-05
Validation Loss: 9.53928247326985e-06
Validation Loss: 1.0885303709073924e-05
Validation Loss: 1.1861320672323927e-05
Validation Loss: 1.314042674493976e-05
Validation Loss: 1.336541390628554e-05
Validation Loss: 1.2942911780555733e-05
Validation Loss: 9.513914847048e-06
Validation Loss: 7.983980140124913e-06
Validation Loss: 1.0874398867599666e-05
Validation Loss: 1.4573452062904835e-05
Validation Loss: 1.2489090295275673e-05
Validation Loss: 1.1370013453415595e-05
Validation Loss: 9.259754733648151e-06
Validation Loss: 1.3967634913569782e-05
Validation Loss: 8.336450264323503e-06
Validation Loss: 1.147229068010347e-05
Validation Loss: 7.044725862215273e-06
Validation Loss: 6.276294698182028e-06
Validation Loss: 1.1392597116355319e-05
Validation Loss: 9.790510375751182e-06
Validation Loss: 8.297836757265031e-06
Validation Loss: 1.324831919191638e-05
Validation Loss: 1.264447837456828e-05
Validation Loss: 1.4217424904927611e-05
Validation Loss: 1.1132795407320373e-05
Validation Loss: 8.692464689374901e-06
Validation Loss: 1.086286920326529e-05
Validation Loss: 9.517509170109406e-06
Validation Loss: 1.0489881788089406e-05
Validation Loss: 9.991913429985289e-06
Validation Loss: 1.7929527530213818e-05
Validation Loss: 1.0508470040804241e-05
Validation Loss: 9.881053301796783e-06
Validation Loss: 1.494216667197179e-05
Validation Loss: 9.04923308553407e-06
Validation Loss: 1.2161596714577172e-05
Validation Loss: 1.201487521029776e-05
Validation Loss: 1.1664167686831206e-05
Validation Loss: 1.1923839338123798e-05
Validation Loss: 1.453148161090212e-05
Validation Loss: 1.0380246749264188e-05
Validation Loss: 8.072573109529912e-06
Validation Loss: 6.774390840291744e-06
Validation Loss: 9.122992196353152e-06
Validation Loss: 8.735684787097853e-06
Validation Loss: 1.1213312063773628e-05
Validation Loss: 1.229952340509044e-05
Validation Loss: 1.1192651982128154e-05
Validation Loss: 1.2100915228074882e-05
Validation Loss: 1.2175460142316297e-05
Validation Loss: 1.3307586414157413e-05
Validation Loss: 1.1251939213252626e-05
Validation Loss: 1.0131871931662317e-05
Validation Loss: 1.4357412510435097e-05
Validation Loss: 8.597521627962124e-06
Validation Loss: 1.054711810866138e-05
Validation Loss: 1.3020503502048086e-05
Validation Loss: 1.493502531957347e-05
Validation Loss: 1.0050228411273565e-05
Validation Loss: 1.3003701496927533e-05
Validation Loss: 1.350262391497381e-05
Validation Loss: 1.1892822840309236e-05
Validation Loss: 1.335001434199512e-05
Validation Loss: 9.43197483138647e-06
Validation Loss: 7.681245733692776e-06
Validation Loss: 6.693667728541186e-06
Validation Loss: 1.0702635336201638e-05
Validation Loss: 1.3912946997152176e-05
Validation Loss: 6.129610028438037e-06
Validation Loss: 9.725346899358556e-06
Validation Loss: 1.175249599327799e-05
Validation Loss: 1.131376666307915e-05
Validation Loss: 1.037231140799122e-05
Validation Loss: 1.1647797691693995e-05
Validation Loss: 1.0363665751356166e-05
Validation Loss: 1.1582651495700702e-05
Validation Loss: 8.932720447774045e-06
Validation Loss: 1.1420700502640102e-05
Validation Loss: 1.0510948413866572e-05
Validation Loss: 1.213469931826694e-05
Validation Loss: 9.917600436892826e-06
Validation Loss: 1.4385398571903352e-05
Validation Loss: 1.3977758499095216e-05
Validation Loss: 1.051948856911622e-05
Validation Loss: 9.563261301082093e-06
Validation Loss: 1.2446158507373184e-05
Validation Loss: 1.2969054296263494e-05
Validation Loss: 8.563361916458234e-06
Validation Loss: 9.403902367921546e-06
Validation Loss: 1.0002628187066875e-05
Epoch [500/10000], Loss: 2.5768488285393687e-06
Validation Loss: 2.1291145458235405e-05
Validation Loss: 9.516170393908396e-06
Validation Loss: 8.121910468616989e-06
Validation Loss: 1.0944509085675236e-05
Validation Loss: 1.5335823263740167e-05
Validation Loss: 1.038769642036641e-05
Validation Loss: 9.705081538413651e-06
Validation Loss: 8.614826583652757e-06
Validation Loss: 1.0774587281048298e-05
Validation Loss: 8.230858838942368e-06
Validation Loss: 1.4807947081862949e-05
Validation Loss: 1.7503176422906108e-05
Validation Loss: 1.1548397196747828e-05
Validation Loss: 1.1150570571771823e-05
Validation Loss: 9.090413186640944e-06
Validation Loss: 1.0739579920482356e-05
Validation Loss: 1.0826417565112934e-05
Validation Loss: 1.1977169378951658e-05
Validation Loss: 2.1580663087661378e-05
Validation Loss: 1.35781310746097e-05
Validation Loss: 8.843188879836816e-06
Validation Loss: 9.484255315328483e-06
Validation Loss: 7.580991677968996e-06
Validation Loss: 7.838556484784931e-06
Validation Loss: 9.73334135778714e-06
Validation Loss: 7.228450613183668e-06
Validation Loss: 1.0990951523126569e-05
Validation Loss: 1.6635478459647857e-05
Validation Loss: 1.3207004485593643e-05
Validation Loss: 1.3055062481726054e-05
Validation Loss: 1.0977892088703811e-05
Validation Loss: 9.137719644058961e-06
Validation Loss: 7.751464181637857e-06
Validation Loss: 8.303252798214089e-06
Validation Loss: 8.639816769573372e-06
Validation Loss: 1.1441405149525963e-05
Validation Loss: 8.52828634378966e-06
Validation Loss: 9.491708624409512e-06
Validation Loss: 9.782136658031959e-06
Validation Loss: 7.686565368203446e-06
Validation Loss: 1.1736907254089601e-05
Validation Loss: 8.702506420377176e-06
Validation Loss: 9.23117568163434e-06
Validation Loss: 1.1296995580778457e-05
Validation Loss: 9.474790203967132e-06
Validation Loss: 1.4321824892249424e-05
Validation Loss: 1.5113239896891173e-05
Validation Loss: 1.3040361409366596e-05
Validation Loss: 1.0069744348584209e-05
Validation Loss: 1.005277044896502e-05
Validation Loss: 1.1044019629480317e-05
Validation Loss: 9.538683116261382e-06
Validation Loss: 1.614220491319429e-05
Validation Loss: 1.0300855137757026e-05
Validation Loss: 1.1576240467547905e-05
Validation Loss: 1.2798956049664412e-05
Validation Loss: 1.0631988516252022e-05
Validation Loss: 8.80515290191397e-06
Validation Loss: 7.945874131110031e-06
Validation Loss: 7.688553523621522e-06
Validation Loss: 7.054306479403749e-06
Validation Loss: 1.1277997145953123e-05
Validation Loss: 7.1808731263445225e-06
Validation Loss: 1.1977964277321007e-05
Validation Loss: 9.701842827780638e-06
Validation Loss: 1.0375055353506468e-05
Validation Loss: 9.212817531079054e-06
Validation Loss: 7.97522170614684e-06
Validation Loss: 7.850060683267657e-06
Validation Loss: 1.006459478958277e-05
Validation Loss: 1.1932210327358916e-05
Validation Loss: 9.996316293836571e-06
Validation Loss: 1.1851177987409756e-05
Validation Loss: 7.959155482240021e-06
Validation Loss: 1.0932562872767448e-05
Validation Loss: 1.2338117812760174e-05
Validation Loss: 9.935995876730885e-06
Validation Loss: 1.0307328921044245e-05
Validation Loss: 1.3345363186090253e-05
Validation Loss: 1.2489163054851815e-05
Validation Loss: 1.1044044185837265e-05
Validation Loss: 8.58890689414693e-06
Validation Loss: 1.827534470066894e-05
Validation Loss: 7.527502930315677e-06
Validation Loss: 1.5988605809980072e-05
Validation Loss: 8.251894541899674e-06
Validation Loss: 9.190641321765725e-06
Validation Loss: 1.3473486433213111e-05
Validation Loss: 9.699235306470655e-06
Validation Loss: 9.98721043288242e-06
Validation Loss: 9.444959687243681e-06
Validation Loss: 1.102291116694687e-05
Validation Loss: 1.0962277883663774e-05
Validation Loss: 1.006780621537473e-05
Validation Loss: 1.1300804544589482e-05
Validation Loss: 8.050977157836314e-06
Validation Loss: 1.2922356290800963e-05
Validation Loss: 7.71190389059484e-06
Validation Loss: 1.0755328730738256e-05
Validation Loss: 1.2642309229704551e-05
Epoch [600/10000], Loss: 3.5042830859310925e-06
Validation Loss: 1.1136717148474418e-05
Validation Loss: 7.639549949089997e-06
Validation Loss: 1.0247110367345158e-05
Validation Loss: 1.2091164535377175e-05
Validation Loss: 1.3971992302685976e-05
Validation Loss: 1.1033642294933088e-05
Validation Loss: 1.705907197901979e-05
Validation Loss: 7.796307727403473e-06
Validation Loss: 8.67599192133639e-06
Validation Loss: 9.045984370459337e-06
Validation Loss: 1.1916145922441501e-05
Validation Loss: 1.1557076504686847e-05
Validation Loss: 1.2724224689009134e-05
Validation Loss: 9.15688906388823e-06
Validation Loss: 9.166275049210526e-06
Validation Loss: 1.0839287824637722e-05
Validation Loss: 8.513939064869191e-06
Validation Loss: 9.539789061818738e-06
Validation Loss: 1.3928017324360553e-05
Validation Loss: 9.001806574815419e-06
Validation Loss: 1.402133875672007e-05
Validation Loss: 1.0110483344760723e-05
Validation Loss: 1.3652112102136016e-05
Validation Loss: 1.6380989109165967e-05
Validation Loss: 7.459568223566748e-06
Validation Loss: 1.2920876542921178e-05
Validation Loss: 1.4594847925764043e-05
Validation Loss: 1.0627715710143093e-05
Validation Loss: 9.258421414415352e-06
Validation Loss: 1.1968621947744396e-05
Validation Loss: 1.105750743590761e-05
Validation Loss: 1.25382994156098e-05
Validation Loss: 9.737187610880937e-06
Validation Loss: 1.0869573088712059e-05
Validation Loss: 1.2732704817608465e-05
Validation Loss: 7.184501100709895e-06
Validation Loss: 1.1958676623180509e-05
Validation Loss: 1.0285819371347316e-05
Validation Loss: 1.1045531209674664e-05
Validation Loss: 2.0531231712084264e-05
Validation Loss: 1.943326606124174e-05
Validation Loss: 1.0140796803170815e-05
Validation Loss: 1.0002326234825887e-05
Validation Loss: 1.6213671187870204e-05
Validation Loss: 1.0457521966600325e-05
Validation Loss: 1.0845603355846833e-05
Validation Loss: 1.2753439477819484e-05
Validation Loss: 9.596283234714065e-06
Validation Loss: 1.263383364857873e-05
Validation Loss: 1.5829346011742018e-05
Validation Loss: 7.857655873522162e-06
Validation Loss: 1.1680573152261786e-05
Validation Loss: 1.1317548342049122e-05
Validation Loss: 9.03784984984668e-06
Validation Loss: 1.0190104148932733e-05
Validation Loss: 1.0812916116265114e-05
Validation Loss: 1.4930450561223552e-05
Validation Loss: 7.973162610142026e-06
Validation Loss: 1.2660978427447844e-05
Validation Loss: 1.2099053492420353e-05
Validation Loss: 9.762523404788226e-06
Validation Loss: 1.23397212519194e-05
Validation Loss: 1.1688276572385803e-05
Validation Loss: 1.1919342796318233e-05
Validation Loss: 1.097408039640868e-05
Validation Loss: 1.2815434274671134e-05
Validation Loss: 8.417468052357435e-06
Validation Loss: 1.009459447232075e-05
Validation Loss: 9.079029950953554e-06
Validation Loss: 8.556623470212799e-06
Validation Loss: 9.147173841483891e-06
Validation Loss: 1.0608411685097963e-05
Validation Loss: 9.62768626777688e-06
Validation Loss: 1.2980562132725026e-05
Validation Loss: 8.843077011988498e-06
Validation Loss: 2.113528171321377e-05
Validation Loss: 9.165742085315287e-06
Validation Loss: 8.52744051371701e-06
