
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/1000 [00:00<?, ?it/s]
Validation - Encoder Loss: 0.0055, Decoder Loss: 0.0000
Epoch 160: Encoder Loss: 0.0054, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0061, Decoder Loss: 0.0001
Epoch 161: Encoder Loss: 0.0053, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0033, Decoder Loss: 0.0000
Epoch 162: Encoder Loss: 0.0051, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0041, Decoder Loss: 0.0000
Epoch 163: Encoder Loss: 0.0056, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0038, Decoder Loss: 0.0000
Epoch 164: Encoder Loss: 0.0052, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0034, Decoder Loss: 0.0000
Epoch 165: Encoder Loss: 0.0051, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0038, Decoder Loss: 0.0000
Epoch 166: Encoder Loss: 0.0043, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0033, Decoder Loss: 0.0000
Epoch 167: Encoder Loss: 0.0051, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0042, Decoder Loss: 0.0000
Epoch 168: Encoder Loss: 0.0049, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0032, Decoder Loss: 0.0000
Epoch 169: Encoder Loss: 0.0044, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0041, Decoder Loss: 0.0000
Epoch 170: Encoder Loss: 0.0043, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0073, Decoder Loss: 0.0000
Epoch 171: Encoder Loss: 0.0049, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0039, Decoder Loss: 0.0000
Epoch 172: Encoder Loss: 0.0045, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0032, Decoder Loss: 0.0000
Epoch 173: Encoder Loss: 0.0045, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0070, Decoder Loss: 0.0000
Epoch 174: Encoder Loss: 0.0048, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0035, Decoder Loss: 0.0000
Epoch 175: Encoder Loss: 0.0047, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0030, Decoder Loss: 0.0000
Epoch 176: Encoder Loss: 0.0048, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0063, Decoder Loss: 0.0000
Epoch 177: Encoder Loss: 0.0047, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0031, Decoder Loss: 0.0000
Epoch 178: Encoder Loss: 0.0049, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0056, Decoder Loss: 0.0000
Epoch 179: Encoder Loss: 0.0044, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0064, Decoder Loss: 0.0000
Epoch 180: Encoder Loss: 0.0040, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0029, Decoder Loss: 0.0000
Epoch 181: Encoder Loss: 0.0045, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0032, Decoder Loss: 0.0000
Epoch 182: Encoder Loss: 0.0041, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0064, Decoder Loss: 0.0000
Epoch 183: Encoder Loss: 0.0042, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0067, Decoder Loss: 0.0000
Epoch 184: Encoder Loss: 0.0047, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0026, Decoder Loss: 0.0000
Epoch 185: Encoder Loss: 0.0043, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0032, Decoder Loss: 0.0000
Epoch 186: Encoder Loss: 0.0041, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0030, Decoder Loss: 0.0000
Epoch 187: Encoder Loss: 0.0045, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0029, Decoder Loss: 0.0000
Epoch 188: Encoder Loss: 0.0037, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0033, Decoder Loss: 0.0000
Epoch 189: Encoder Loss: 0.0047, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0027, Decoder Loss: 0.0000
Epoch 190: Encoder Loss: 0.0044, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0025, Decoder Loss: 0.0000
Epoch 191: Encoder Loss: 0.0046, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0035, Decoder Loss: 0.0000
Epoch 192: Encoder Loss: 0.0043, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0060, Decoder Loss: 0.0000
Epoch 193: Encoder Loss: 0.0039, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0025, Decoder Loss: 0.0000
Epoch 194: Encoder Loss: 0.0043, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0090, Decoder Loss: 0.0000
Epoch 195: Encoder Loss: 0.0038, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0039, Decoder Loss: 0.0000
Epoch 196: Encoder Loss: 0.0042, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0033, Decoder Loss: 0.0000
Epoch 197: Encoder Loss: 0.0038, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0106, Decoder Loss: 0.0000
Epoch 198: Encoder Loss: 0.0040, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0042, Decoder Loss: 0.0000
Epoch 199: Encoder Loss: 0.0037, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0026, Decoder Loss: 0.0000
Epoch 200: Encoder Loss: 0.0037, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0066, Decoder Loss: 0.0000
Epoch 201: Encoder Loss: 0.0038, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0033, Decoder Loss: 0.0000
Epoch 202: Encoder Loss: 0.0035, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0033, Decoder Loss: 0.0000
Epoch 203: Encoder Loss: 0.0036, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0025, Decoder Loss: 0.0000
Epoch 204: Encoder Loss: 0.0040, Decoder Loss: 0.0000
Validation - Encoder Loss: 0.0065, Decoder Loss: 0.0000
Epoch 205: Encoder Loss: 0.0039, Decoder Loss: 0.0000
