
Loaded txt
Using 1D Conv Model with Uncertainties
  0%|          | 0/10000 [00:00<?, ?it/s]
Epoch 113: Encoder Loss: 0.1091, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1084, Decoder Loss: 0.0004
Epoch 114: Encoder Loss: 0.1113, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0966, Decoder Loss: 0.0005
Epoch 115: Encoder Loss: 0.1136, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0873, Decoder Loss: 0.0002
Epoch 116: Encoder Loss: 0.1123, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1196, Decoder Loss: 0.0005
Epoch 117: Encoder Loss: 0.1161, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0824, Decoder Loss: 0.0002
Epoch 118: Encoder Loss: 0.1078, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1967, Decoder Loss: 0.0004
Epoch 119: Encoder Loss: 0.1150, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0912, Decoder Loss: 0.0039
Epoch 120: Encoder Loss: 0.1088, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1006, Decoder Loss: 0.0003
Epoch 121: Encoder Loss: 0.1054, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0937, Decoder Loss: 0.0002
Epoch 122: Encoder Loss: 0.1009, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0812, Decoder Loss: 0.0003
Epoch 123: Encoder Loss: 0.0986, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.1134, Decoder Loss: 0.0004
Epoch 124: Encoder Loss: 0.1027, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0800, Decoder Loss: 0.0004
Epoch 125: Encoder Loss: 0.1072, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0842, Decoder Loss: 0.0002
Epoch 126: Encoder Loss: 0.0974, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0854, Decoder Loss: 0.0003
Epoch 127: Encoder Loss: 0.1094, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0803, Decoder Loss: 0.0004
Epoch 128: Encoder Loss: 0.0901, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0838, Decoder Loss: 0.0003
Epoch 129: Encoder Loss: 0.0912, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0708, Decoder Loss: 0.0003
Epoch 130: Encoder Loss: 0.0872, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0692, Decoder Loss: 0.0002
Epoch 131: Encoder Loss: 0.0865, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0703, Decoder Loss: 0.0002
Epoch 132: Encoder Loss: 0.0888, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0672, Decoder Loss: 0.0003
Epoch 133: Encoder Loss: 0.0876, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0667, Decoder Loss: 0.0003
Epoch 134: Encoder Loss: 0.0842, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0721, Decoder Loss: 0.0006
Epoch 135: Encoder Loss: 0.0879, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0815, Decoder Loss: 0.0001
Epoch 136: Encoder Loss: 0.0841, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0765, Decoder Loss: 0.0001
Epoch 137: Encoder Loss: 0.0831, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0789, Decoder Loss: 0.0002
Epoch 138: Encoder Loss: 0.0824, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0625, Decoder Loss: 0.0001
Epoch 139: Encoder Loss: 0.0798, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0854, Decoder Loss: 0.0005
Epoch 140: Encoder Loss: 0.0747, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0863, Decoder Loss: 0.0002
Epoch 141: Encoder Loss: 0.0887, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0704, Decoder Loss: 0.0002
Epoch 142: Encoder Loss: 0.0752, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0728, Decoder Loss: 0.0006
Epoch 143: Encoder Loss: 0.0786, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0646, Decoder Loss: 0.0002
Epoch 144: Encoder Loss: 0.0804, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0635, Decoder Loss: 0.0002
Epoch 145: Encoder Loss: 0.0811, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0582, Decoder Loss: 0.0004
Epoch 146: Encoder Loss: 0.0717, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0587, Decoder Loss: 0.0005
Epoch 147: Encoder Loss: 0.0767, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0590, Decoder Loss: 0.0002
Epoch 148: Encoder Loss: 0.0815, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0629, Decoder Loss: 0.0002
Epoch 149: Encoder Loss: 0.0793, Decoder Loss: 0.0003
Validation - Encoder Loss: 0.0596, Decoder Loss: 0.0003
Epoch 150: Encoder Loss: 0.0758, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0555, Decoder Loss: 0.0003
Epoch 151: Encoder Loss: 0.0708, Decoder Loss: 0.0002
Validation - Encoder Loss: 0.0596, Decoder Loss: 0.0002
